metric,size,dims,result
pca_$\Delta\theta$,10,5,0.1636481829038476
corr,10,5,0.193259348737455
pMSE,10,5,0.15241738479278605
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.24598309105648145
pca_$\Delta\theta$,10,5,0.35063087994601677
corr,10,5,0.17013087898983037
pMSE,10,5,0.11126391857520668
ks_test,10,5,0.31999999999999995
pca_$\Delta\lambda$,10,5,0.14314786674593744
pca_$\Delta\theta$,10,5,0.3013394742265539
corr,10,5,0.23659915833676556
pMSE,10,5,0.1488904309772119
ks_test,10,5,0.34
pca_$\Delta\lambda$,10,5,0.16320410159028562
pca_$\Delta\theta$,10,5,0.7057343405542981
corr,10,5,0.22636543469624884
pMSE,10,5,0.08292611094635019
ks_test,10,5,0.30000000000000004
pca_$\Delta\lambda$,10,5,0.14394714120277297
pca_$\Delta\theta$,10,5,0.46441196931491835
corr,10,5,0.10088137660838485
pMSE,10,5,0.21977800654839896
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.020183555258270265
pca_$\Delta\theta$,10,5,0.7206748872388155
corr,10,5,0.10842069351098016
pMSE,10,5,0.11006534907890952
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.08091452437643677
